affiliate_id,affiliate_name,candidate
0,Mike Bloomberg 2020 Inc,Mike Bloomberg
1,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,Donald Trump
2,BERNIE 2020,Bernie Sanders
3,"WARREN FOR PRESIDENT, INC.",Elizabeth Warren
4,BIDEN FOR PRESIDENT,Joe Biden
5,"PETE FOR AMERICA, INC.",Pete Buttigieg
6,"DONALD J. TRUMP FOR PRESIDENT, INC.",Donald Trump
8,TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,Mike Bloomberg
9,FRIENDS OF ANDREW YANG,Andrew Yang
10,I Love My Freedom,Donald Trump
18,PETERS FOR MICHIGAN,Pete Buttigieg
19,Making Web LLC,Donald Trump
21,Proud Right Winger,Donald Trump
23,"DONALD J. TRUMP FOR PRESIDENT, INC.",Mike Bloomberg
24,Red State Politics LLC,Donald Trump
25,KENNEDY FOR MASSACHUSETTS,Joe Biden
28,Trump Collections,Donald Trump
29,The Stuart Agency,Donald Trump
30,Greek Steel LLC,Donald Trump
33,Peter G. Peterson Foundation,Pete Buttigieg
34,Innovative Ecomm LLC,Donald Trump
35,DONALD NORCROSS FOR CONGRESS,Donald Trump
36,DCCC. (202) 863-1500. Not authorized by any candidate or candidate’s committee.,Mike Bloomberg
37,VOTE NURSES VALUES POLITICAL ACTION COMMITTEE: CALIFORNIA NURSES ASSOCIATION,Bernie Sanders
38,Emery Celli Brinckerhoff & Abady LLP,Donald Trump
39,Angel Avinash Persaud,Bernie Sanders
40,Troy Lorenzo Davis,Donald Trump
41,Congressman Joe Morelle,Joe Biden
42,PA 529 College and Career Savings Program,Joe Biden
43,QuickTake by Bloomberg,Mike Bloomberg
44,Legal Action Media,Bernie Sanders
45,Pennsylvania Taxpayer Dollars,Joe Biden
46,Beyond Patriots LLC,Donald Trump
47,Thanh Hai None Hoang,Donald Trump
49,Mike Lansing for School Board 2020,Mike Bloomberg
50,Friends of Mike Larsen,Mike Bloomberg
52,Mike Causey Campaign,Mike Bloomberg
53,Joe Flores Campaign,Joe Biden
54,Salem Media,Mike Bloomberg
55,Stop the Donald,Donald Trump
56,MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE,Mike Bloomberg
57,The Office of Representative Joe Cunningham,Joe Biden
59,UD Buys D/B/A Free Trump Flag,Donald Trump
60,Gregory Lawrence Burright,Donald Trump
62,Trump Train News,Donald Trump
63,Gipson for Assembly 2020,Mike Bloomberg
64,Peters for Illinois,Pete Buttigieg
65,DEFAZIO FOR CONGRESS,Pete Buttigieg
66,Minerva LLC,Donald Trump
67,Trump Swag USA,Donald Trump
68,SCOTT PETERS FOR CONGRESS,Pete Buttigieg
69,Brownrigg for State Senate 2020,Mike Bloomberg
70,The Office of Congressman Donald Norcross,Donald Trump
71,BOXD Marketing,Donald Trump
72,Parson for Missouri,Mike Bloomberg
73,Philanthropic Dollars,Joe Biden
74,ROUNDS FOR SENATE,Mike Bloomberg
75,Peter Kelly for Justice Campaign,Pete Buttigieg
76,Joey Osborne For Congress,Joe Biden
77,Trump 2020 Wear,Donald Trump
78,Richard Andrews for Texas Senate Campaign,Andrew Yang
79,Iminder P Singh,Donald Trump
80,Scott Andrew Yang for Judge 2020,Andrew Yang
81,JOE CUNNINGHAM FOR CONGRESS,Joe Biden
83,Mike Garcia for Congress,Mike Bloomberg
84,Elizabeth Dole Foundation,Elizabeth Warren
85,Mike Denton Campaign,Mike Bloomberg
86,MIKE WILLIAMS FOR CONGRESS,Mike Bloomberg
87,PETER MEIJER FOR CONGRESS,Pete Buttigieg
88,GHASSALI FOR CONGRESS,Mike Bloomberg
89,Friends of Elizabeth Crowley,Elizabeth Warren
91,Friends of Anton Andrew,Andrew Yang
92,Mike Schofield Campaign,Mike Bloomberg
93,Alexander Gerard Yunker,Donald Trump
94,FRIENDS OF MIKE LEE INC,Mike Bloomberg
95,Jay David Kamhi,Donald Trump
97,Friends of Cristin McDonald Duffy,Donald Trump
98,COMMITTEE TO ELECT JOE WALZ,Joe Biden
99,Joe Campbell for State House Inc,Joe Biden
100,Roger Rudenstein,Donald Trump
101,The Andrew Goodman Foundation,Andrew Yang
102,Michael Chen for Democratic County Central Committee,Mike Bloomberg
103,Joe Simitian,Joe Biden
104,Joe LaCava for City Council 2020,Joe Biden
105,Harsaheb Dhall,Donald Trump
106,Arkansas Competes,Pete Buttigieg
107,QUIGLEY FOR CONGRESS,Mike Bloomberg
108,MIKE JOHNSON FOR LOUISIANA,Mike Bloomberg
109,Tarek None Kteleh,Donald Trump
111,Matthew James Stine,Donald Trump
113,Joe Kaufman Security Initiative,Joe Biden
115,GARBARINO FOR CONGRESS,Andrew Yang
116,Leventhal for City Council 2020,Joe Biden
117,EXCEPTIONAL PRODUCTS INC,Donald Trump
118,Paid For By Committee To Re-Elect Mack For Judge,Pete Buttigieg
119,COMMITTEE TO ELECT SAM PETERS,Pete Buttigieg
120,Thomas Charles Granack,Donald Trump
